JOURNAL,full.name,previous.name,JCRrank,JCRyear
Am J Respir Cell Mol Biol,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,,1,2018
Inflamm Bowel Dis,INFLAMMATORY BOWEL DISEASES,,2,2018
Mol Vis,MOLECULAR VISION,,2,2018
Nat Genet,NATURE GENETICS,,1,2018
Hum Mol Genet,HUMAN MOLECULAR GENETICS,,1,2018
BMC Cardiovasc Disord,BMC Cardiovascular Disorders,,3,2018
Am J Hum Genet,AMERICAN JOURNAL OF HUMAN GENETICS,,1,2018
PLoS One,PLoS One,,2,2018
Genet Epidemiol,GENETIC EPIDEMIOLOGY,,1,2018
PLoS Genet,PLoS Genetics,,1,2018
BMC Med Genet,BMC Medical Genetics,,3,2018
Am J Psychiatry,AMERICAN JOURNAL OF PSYCHIATRY,,1,2018
J Psychiatr Res,JOURNAL OF PSYCHIATRIC RESEARCH,,2,2018
Nature,NATURE,,1,2018
Eur Heart J,EUROPEAN HEART JOURNAL,,1,2018
J Bone Miner Res,JOURNAL OF BONE AND MINERAL RESEARCH,,1,2018
Kidney Int,KIDNEY INTERNATIONAL,,1,2018
Breast Cancer Res Treat,BREAST CANCER RESEARCH AND TREATMENT,,2,2018
Neoplasia,NEOPLASIA,,2,2018
Arthritis Rheum,Arthritis & Rheumatology,,1,2018
Diabetes,DIABETES,,1,2018
BMC Med Genomics,BMC Medical Genomics,,3,2018
Int J Cancer,INTERNATIONAL JOURNAL OF CANCER,,1,2018
Blood,BLOOD,,1,2018
Pharmacogenet Genomics,Pharmacogenetics and Genomics,,2,2018
J Hepatol,JOURNAL OF HEPATOLOGY,,1,2018
Hepatology,HEPATOLOGY,,1,2018
Mol Psychiatry,MOLECULAR PSYCHIATRY,,1,2018
J Med Genet,JOURNAL OF MEDICAL GENETICS,,1,2018
Mol Med,MOLECULAR MEDICINE,,2,2018
Biol Psychiatry,BIOLOGICAL PSYCHIATRY,,1,2018
Neuron,NEURON,,1,2018
Genome Res,GENOME RESEARCH,,1,2018
J Invest Dermatol,JOURNAL OF INVESTIGATIVE DERMATOLOGY,,1,2018
Circulation,CIRCULATION,,1,2018
Pharmacogenomics J,PHARMACOGENOMICS JOURNAL,,2,2018
Int J Obes (Lond),INTERNATIONAL JOURNAL OF OBESITY,,1,2018
Cancer Res,CANCER RESEARCH,,1,2018
Ophthalmology,OPHTHALMOLOGY,,1,2018
J Korean Med Sci,JOURNAL OF KOREAN MEDICAL SCIENCE,,2,2018
N Engl J Med,NEW ENGLAND JOURNAL OF MEDICINE,,1,2018
J Allergy Clin Immunol,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,,1,2018
Lancet Neurol,LANCET NEUROLOGY,,1,2018
J Lipid Res,JOURNAL OF LIPID RESEARCH,,1,2018
Circ J,CIRCULATION JOURNAL,,2,2018
Front Genet,Frontiers in Genetics,,2,2018
Lancet,LANCET,,1,2018
Kidney Int Suppl,Kidney International Supplements,,1,2018
JAMA Psychiatry,JAMA Psychiatry,,1,2018
Cancer Prev Res (Phila),Cancer Prevention Research,,2,2018
Gastroenterology,GASTROENTEROLOGY,,1,2018
Obstet Gynecol,OBSTETRICS AND GYNECOLOGY,,1,2018
Neurodegener Dis,Neurodegenerative Diseases,,2,2018
BMC Genet,BMC GENETICS,,3,2018
J Clin Psychiatry,JOURNAL OF CLINICAL PSYCHIATRY,,1,2018
J Alzheimers Dis,JOURNAL OF ALZHEIMERS DISEASE,,2,2018
Obesity (Silver Spring),Obesity,,1,2018
J Infect Dis,JOURNAL OF INFECTIOUS DISEASES,,1,2018
Arthritis Res Ther,ARTHRITIS RESEARCH & THERAPY,,2,2018
Transl Psychiatry,Translational Psychiatry,,1,2018
Transl Res,Translational Research,,1,2018
Atherosclerosis,ATHEROSCLEROSIS,,1,2018
Diabet Med,DIABETIC MEDICINE,,2,2018
J Am Acad Child Adolesc Psychiatry,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,,1,2018
Psychopharmacology (Berl),PSYCHOPHARMACOLOGY,,2,2018
Hum Hered,HUMAN HEREDITY,,4,2018
Am J Respir Crit Care Med,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,,1,2018
Eur J Hum Genet,EUROPEAN JOURNAL OF HUMAN GENETICS,,2,2018
Ann Hum Genet,ANNALS OF HUMAN GENETICS,,4,2018
Behav Genet,BEHAVIOR GENETICS,,3,2018
J Hum Genet,JOURNAL OF HUMAN GENETICS,,2,2018
Neurology,NEUROLOGY,,1,2018
Clin Exp Allergy,CLINICAL AND EXPERIMENTAL ALLERGY,,1,2018
J Neuroimmunol,JOURNAL OF NEUROIMMUNOLOGY,,3,2018
BMC Genomics,BMC GENOMICS,,2,2018
Breast Cancer Res,BREAST CANCER RESEARCH,,1,2018
Cancer Epidemiol Biomarkers Prev,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,,1,2018
Hum Genet,HUMAN GENETICS,,1,2018
Addiction,ADDICTION,,1,2018
Diabetologia,DIABETOLOGIA,,1,2018
Clin Cancer Res,CLINICAL CANCER RESEARCH,,1,2018
Neuropsychobiology,NEUROPSYCHOBIOLOGY,,3,2018
Brain Imaging Behav,Brain Imaging and Behavior,,2,2018
Ann Neurol,ANNALS OF NEUROLOGY,,1,2018
J Dent Res,JOURNAL OF DENTAL RESEARCH,,1,2018
Hypertension,HYPERTENSION,,1,2018
Cancer Lett,CANCER LETTERS,,1,2018
Invest Ophthalmol Vis Sci,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,,1,2018
Arterioscler Thromb Vasc Biol,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,,1,2018
Heart Rhythm,HEART RHYTHM,,1,2018
Cereb Cortex,CEREBRAL CORTEX,,1,2018
Hum Reprod,HUMAN REPRODUCTION,,1,2018
Med Sci Sports Exerc,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,,1,2018
Genome Med,Genome Medicine,,1,2018
Inflammation,INFLAMMATION,,3,2018
J Clin Oncol,JOURNAL OF CLINICAL ONCOLOGY,,1,2018
J Am Med Inform Assoc,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,1,2018
Yonsei Med J,YONSEI MEDICAL JOURNAL,,2,2018
Stroke,STROKE,,1,2018
J Thromb Haemost,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,,1,2018
J Sleep Res,JOURNAL OF SLEEP RESEARCH,,2,2018
Twin Res Hum Genet,Twin Research and Human Genetics,,4,2018
Neurogenetics,NEUROGENETICS,,2,2018
Schizophr Res,SCHIZOPHRENIA RESEARCH,,1,2018
J Nutr,JOURNAL OF NUTRITION,,1,2018
Neuropsychopharmacology,NEUROPSYCHOPHARMACOLOGY,,1,2018
Genes Brain Behav,GENES BRAIN AND BEHAVIOR,,1,2018
Am J Clin Nutr,AMERICAN JOURNAL OF CLINICAL NUTRITION,,1,2018
Nat Commun,Nature Communications,,1,2018
Gut,GUT,,1,2018
J Urol,JOURNAL OF UROLOGY,,1,2018
Cytokine,CYTOKINE,,2,2018
J Am Soc Nephrol,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,,1,2018
J Steroid Biochem Mol Biol,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,,2,2018
J Thorac Oncol,Journal of Thoracic Oncology,,1,2018
Carcinogenesis,CARCINOGENESIS,,2,2018
Croat Med J,CROATIAN MEDICAL JOURNAL,,2,2018
Autism Res,Autism Research,,1,2018
J Affect Disord,JOURNAL OF AFFECTIVE DISORDERS,,1,2018
Clin Infect Dis,CLINICAL INFECTIOUS DISEASES,,1,2018
Aging Cell,AGING CELL,,1,2018
Eur Respir J,EUROPEAN RESPIRATORY JOURNAL,,1,2018
Schizophr Bull,SCHIZOPHRENIA BULLETIN,,1,2018
J Clin Endocrinol Metab,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,,1,2018
Sci Transl Med,Science Translational Medicine,,1,2018
Clin Pharmacol Ther,CLINICAL PHARMACOLOGY & THERAPEUTICS,,1,2018
Ann N Y Acad Sci,Annals of the New York Academy of Sciences,,1,2018
Psychoneuroendocrinology,PSYCHONEUROENDOCRINOLOGY,,1,2018
J Appl Physiol (1985),JOURNAL OF APPLIED PHYSIOLOGY,,1,2018
Leuk Res,LEUKEMIA RESEARCH,,3,2018
J Gen Virol,JOURNAL OF GENERAL VIROLOGY,,2,2018
BMC Neurol,BMC Neurology,,3,2018
Psychiatry Investig,Psychiatry Investigation,,4,2018
Caries Res,CARIES RESEARCH,,1,2018
Circ Res,CIRCULATION RESEARCH,,1,2018
World J Biol Psychiatry,WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY,,1,2018
Pediatr Hematol Oncol,PEDIATRIC HEMATOLOGY AND ONCOLOGY,,4,2018
Toxicol Sci,TOXICOLOGICAL SCIENCES,,1,2018
Cancer Biol Ther,CANCER BIOLOGY & THERAPY,,3,2018
Rheumatology (Oxford),RHEUMATOLOGY,,1,2018
Pharmacogenomics,PHARMACOGENOMICS,,3,2018
Mov Disord,MOVEMENT DISORDERS,,1,2018
Ann Rheum Dis,ANNALS OF THE RHEUMATIC DISEASES,,1,2018
AIDS,AIDS,,1,2018
Psychiatr Genet,PSYCHIATRIC GENETICS,,4,2018
Neurobiol Aging,NEUROBIOLOGY OF AGING,,1,2018
Brain,BRAIN,,1,2018
Nephrol Dial Transplant,NEPHROLOGY DIALYSIS TRANSPLANTATION,,1,2018
Neurobiol Dis,NEUROBIOLOGY OF DISEASE,,1,2018
J Neural Transm (Vienna),JOURNAL OF NEURAL TRANSMISSION,,2,2018
Lancet Oncol,LANCET ONCOLOGY,,1,2018
Nutrients,Nutrients,,1,2018
Int J Radiat Oncol Biol Phys,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,,1,2018
Hum Mutat,HUMAN MUTATION,,1,2018
Biol Psychol,BIOLOGICAL PSYCHOLOGY,,2,2018
Genes Immun,GENES AND IMMUNITY,,2,2018
J Biol Chem,JOURNAL OF BIOLOGICAL CHEMISTRY,,2,2018
J Mol Neurosci,JOURNAL OF MOLECULAR NEUROSCIENCE,,3,2018
Mol Endocrinol,MOLECULAR ENDOCRINOLOGY,,2,2018
Nutr Metab Cardiovasc Dis,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,,2,2018
Aging (Albany NY),Aging-US,,1,2018
Age (Dordr),AGE,,1,2018
Hypertens Res,HYPERTENSION RESEARCH,,2,2018
Mech Ageing Dev,MECHANISMS OF AGEING AND DEVELOPMENT,,2,2018
Drug Alcohol Depend,DRUG AND ALCOHOL DEPENDENCE,,1,2018
Br J Haematol,BRITISH JOURNAL OF HAEMATOLOGY,,1,2018
Lupus,LUPUS,,3,2018
BMC Oral Health,BMC Oral Health,,2,2018
Cancer Sci,CANCER SCIENCE,,1,2018
Addict Biol,ADDICTION BIOLOGY,,1,2018
Oral Oncol,ORAL ONCOLOGY,,1,2018
Thorax,THORAX,,1,2018
Psychol Med,PSYCHOLOGICAL MEDICINE,,1,2018
Orphanet J Rare Dis,Orphanet Journal of Rare Diseases,,2,2018
FASEB J,FASEB JOURNAL,,1,2018
Int J Immunogenet,International Journal of Immunogenetics,,4,2018
Ann Intern Med,ANNALS OF INTERNAL MEDICINE,,1,2018
Alzheimers Dement,Alzheimers & Dementia,,1,2018
Bone,BONE,,1,2018
Rejuvenation Res,REJUVENATION RESEARCH,,1,2018
Curr Biol,CURRENT BIOLOGY,,1,2018
Clin Oral Investig,Clinical Oral Investigations,,1,2018
J Thromb Thrombolysis,JOURNAL OF THROMBOSIS AND THROMBOLYSIS,,2,2018
J Clin Invest,JOURNAL OF CLINICAL INVESTIGATION,,1,2018
J Clin Periodontol,JOURNAL OF CLINICAL PERIODONTOLOGY,,1,2018
J Viral Hepat,JOURNAL OF VIRAL HEPATITIS,,1,2018
Haematologica,HAEMATOLOGICA,,1,2018
Clin Transplant,CLINICAL TRANSPLANTATION,,3,2018
Front Aging Neurosci,Frontiers in Aging Neuroscience,,2,2018
Br J Ophthalmol,BRITISH JOURNAL OF OPHTHALMOLOGY,,1,2018
Geroscience,GeroScience,,1,2018
Sci Adv,Science Advances,,1,2018
JAMA Ophthalmol,JAMA Ophthalmology,,1,2018
Lancet Respir Med,Lancet Respiratory Medicine,,1,2018
Elife,eLife,,1,2018
Sci Rep,Scientific Reports,,1,2018
BMC Med,BMC Medicine,,1,2018
Mil Med,MILITARY MEDICINE,,4,2018
J Genet,JOURNAL OF GENETICS,,4,2018
Liver Int,LIVER INTERNATIONAL,,1,2018
Ann Transl Med,Annals of Translational Medicine,,2,2018
Am J Nephrol,AMERICAN JOURNAL OF NEPHROLOGY,,1,2018
Comput Math Methods Med,Computational and Mathematical Methods in Medicine,,3,2018
Mol Genet Genomics,MOLECULAR GENETICS AND GENOMICS,,2,2018
Eur J Gastroenterol Hepatol,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,,3,2018
Eur J Med Genet,European Journal of Medical Genetics,,3,2018
Front Microbiol,Frontiers in Microbiology,,1,2018
Am J Epidemiol,AMERICAN JOURNAL OF EPIDEMIOLOGY,,1,2018
Clin Exp Nephrol,Clinical and Experimental Nephrology,,3,2018
Mol Genet Genomic Med,Molecular Genetics & Genomic Medicine,,3,2018
Cortex,CORTEX,,1,2018
Nicotine Tob Res,NICOTINE & TOBACCO RESEARCH,,1,2018
Cancer Med,Cancer Medicine,,2,2018
Sleep Med,SLEEP MEDICINE,,2,2018
Hum Brain Mapp,HUMAN BRAIN MAPPING,,1,2018
J Clin Lipidol,Journal of Clinical Lipidology,,2,2018
